,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state,param_verbose,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10,0.1063072681427002,0.000320331167953311,0.10206813812255859,7.697212283248306e-05,True,10,0.07,1,5,10,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9333333333333333,0.9166666666666666,0.9,0.8983050847457628,0.9152542372881356,0.9127118644067798,0.012778856743613036,1307,1.0,1.0,0.9915966386554622,0.9916317991631799,0.9874476987447699,0.9941352273126824,0.005024455006560361
11,0.13182826042175294,0.020362670585585916,0.10950736999511719,0.009323561029194771,True,10,0.07,1,5,45,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 45, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9166666666666666,0.9666666666666667,0.9333333333333333,0.9830508474576272,0.9830508474576272,0.9565536723163841,0.02696898440004238,1054,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,0.164268159866333,0.04309634293010758,0.10341844558715821,0.002623147004950434,True,10,0.07,1,5,60,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 60, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9,0.9333333333333333,0.9,0.9661016949152542,0.9491525423728814,0.9297175141242938,0.026385088117572585,1258,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,0.3143866539001465,0.05929952423786223,0.10232090950012207,0.0005398773595264079,True,10,0.07,1,5,110,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 110, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9333333333333333,0.95,0.95,0.9830508474576272,0.9661016949152542,0.9564971751412429,0.01684241342865752,1059,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,0.3915429592132568,0.014591482398792908,0.10262603759765625,0.0006000914533337596,True,10,0.07,1,5,148,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 148, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9,0.9333333333333333,0.9833333333333333,0.9830508474576272,0.9661016949152542,0.9531638418079096,0.0322194429212324,1111,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,0.10602517127990722,0.00043430126807072203,0.10205473899841308,7.269235076485861e-05,True,10,0.07,1,8,10,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.8833333333333333,0.8666666666666667,0.8833333333333333,0.8983050847457628,0.9322033898305084,0.8927683615819209,0.022113863298447962,1378,0.9537815126050421,0.9831932773109243,0.9831932773109243,0.9665271966527197,0.9456066945606695,0.9664603916880559,0.015202723730448746
16,0.12140283584594727,0.004056173048403214,0.10268268585205079,0.0009662858894935416,True,10,0.07,1,8,45,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 45, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9166666666666666,0.9666666666666667,0.95,0.9322033898305084,0.9830508474576272,0.9497175141242937,0.023654038761831832,1175,0.9957983193277311,0.9957983193277311,0.9915966386554622,1.0,0.99581589958159,0.9958018353785029,0.002657385489374718
17,0.15225601196289062,0.04407560339586777,0.10228586196899414,0.0003595589951157916,True,10,0.07,1,8,60,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 60, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.8333333333333334,0.95,0.9333333333333333,0.9322033898305084,1.0,0.929774011299435,0.05414823197083506,1257,0.9957983193277311,0.9957983193277311,0.9957983193277311,0.9916317991631799,0.99581589958159,0.9949685313455927,0.0016683799849213303
18,0.24943280220031738,0.0062047374956305,0.10218577384948731,0.00019505812986058907,True,10,0.07,1,8,110,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 110, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.9,0.9833333333333333,0.9833333333333333,0.9830508474576272,0.9830508474576272,0.9665536723163843,0.033277075958580773,937,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,0.38055129051208497,0.02744130038352499,0.10250797271728515,0.0005002091473656766,True,10,0.07,1,8,148,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 148, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.8833333333333333,0.9666666666666667,0.9833333333333333,0.9661016949152542,0.9661016949152542,0.9531073446327684,0.03550657555520445,1120,1.0,1.0,0.9957983193277311,1.0,1.0,0.9991596638655462,0.001680672268907557
20,0.11169710159301757,0.00536244632428604,0.10289859771728516,0.001675172106737402,True,10,0.07,2,2,10,-1,42,2,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.07, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 42, 'verbose': 2}",0.8,0.9333333333333333,0.9833333333333333,0.7627118644067796,0.8983050847457628,0.8755367231638418,0.08235800009728804,1414,0.9747899159663865,0.9957983193277311,0.9663865546218487,0.9707112970711297,0.9874476987447699,0.9790267571463731,0.010945957927154268
