,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5325,0.6720430374145507,0.0930576513015322,0.1198812484741211,0.006476085564799677,False,40,0.15,1,2,148,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 148}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5326,1.0005966186523438,0.1374707347224637,0.1667017936706543,0.06927508134995373,False,40,0.15,1,2,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5327,0.13469538688659669,0.027768949008781078,0.1145632266998291,0.01501783058096676,False,40,0.15,1,3,10,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 10}",1.0,0.975,0.975,1.0,0.9746835443037974,0.9849367088607595,0.01229966852634801,5202,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5328,0.11851553916931153,0.0042893944634186274,0.10550851821899414,0.004409123510795795,False,40,0.15,1,3,25,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 25}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5329,0.1475290298461914,0.029309327739569315,0.10781364440917969,0.008002552641430051,False,40,0.15,1,3,45,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 45}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5330,0.2230363368988037,0.04867075682933591,0.11011252403259278,0.006022241864302002,False,40,0.15,1,3,60,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 60}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5331,0.45746822357177735,0.13472224234405547,0.1223423957824707,0.009694225785416543,False,40,0.15,1,3,110,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 110}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5332,0.7082661628723145,0.07408443233452917,0.12110552787780762,0.0021737325939780896,False,40,0.15,1,3,148,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 148}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5333,1.050062370300293,0.1079111771474287,0.14315543174743653,0.05400859812846888,False,40,0.15,1,3,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5334,0.1352381706237793,0.028900767607900613,0.10820589065551758,0.009487590313765865,False,40,0.15,1,5,10,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.9875,0.9875,0.975,1.0,1.0,0.99,0.009354143466934856,4809,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5335,0.11817069053649902,0.0034009888538352093,0.10397019386291503,0.0038961301163964244,False,40,0.15,1,5,25,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 25}",0.9875,1.0,1.0,1.0,1.0,0.9974999999999999,0.004999999999999982,3869,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5336,0.15820608139038086,0.03283323190569705,0.11411323547363281,0.011744111169877938,False,40,0.15,1,5,45,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 45}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5337,0.16578269004821777,0.02386719569654037,0.11688251495361328,0.012787541850463635,False,40,0.15,1,5,60,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 60}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5338,0.5604366302490235,0.1242385093828503,0.15251145362854004,0.03519139319050253,False,40,0.15,1,5,110,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 110}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5339,0.7133360862731933,0.06891734685638666,0.11989293098449708,0.005575460974763955,False,40,0.15,1,5,148,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 148}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5340,1.0105669498443604,0.17929394167357252,0.17717289924621582,0.09401024506046853,False,40,0.15,1,5,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5341,0.13908491134643555,0.03329328802581073,0.11767592430114746,0.019450123317931847,False,40,0.15,1,8,10,"{'bootstrap': False, 'max_depth': 40, 'max_features': 0.15, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 10}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
