,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.00838327407836914,0.0005873769264578987,0.0018712997436523438,0.00019428223119862648,0.1,1,rbf,42,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf', 'random_state': 42}",0.5666666666666667,0.5666666666666667,0.5666666666666667,0.576271186440678,0.576271186440678,0.5705084745762712,0.0047052345341597945,72,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5690376569037657,0.5690376569037657,0.5704722056186491,0.0011713041208765587
1,0.007485151290893555,0.0010852346091763303,0.0016504287719726562,1.6480640088827473e-05,0.1,0.5,rbf,42,"{'C': 0.1, 'gamma': 0.5, 'kernel': 'rbf', 'random_state': 42}",0.5666666666666667,0.5666666666666667,0.5666666666666667,0.576271186440678,0.576271186440678,0.5705084745762712,0.0047052345341597945,72,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5690376569037657,0.5690376569037657,0.5704722056186491,0.0011713041208765587
2,0.008862161636352539,0.0016218695326358599,0.0017735958099365234,0.00021478129277960456,0.1,0.1,rbf,42,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf', 'random_state': 42}",0.5666666666666667,0.5666666666666667,0.5666666666666667,0.576271186440678,0.576271186440678,0.5705084745762712,0.0047052345341597945,72,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5690376569037657,0.5690376569037657,0.5704722056186491,0.0011713041208765587
3,0.006892013549804688,0.0014399627113850996,0.0015839576721191407,1.9966669917017843e-05,0.1,0.01,rbf,42,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf', 'random_state': 42}",0.5666666666666667,0.5666666666666667,0.5666666666666667,0.576271186440678,0.576271186440678,0.5705084745762712,0.0047052345341597945,72,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5690376569037657,0.5690376569037657,0.5704722056186491,0.0011713041208765587
4,0.006310892105102539,0.00010935742260143767,0.0015909194946289063,2.3278934160112932e-05,0.1,0.05,rbf,42,"{'C': 0.1, 'gamma': 0.05, 'kernel': 'rbf', 'random_state': 42}",0.5666666666666667,0.5666666666666667,0.5666666666666667,0.576271186440678,0.576271186440678,0.5705084745762712,0.0047052345341597945,72,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5690376569037657,0.5690376569037657,0.5704722056186491,0.0011713041208765587
5,0.006025505065917969,5.9718481077230013e-05,0.0017529964447021485,0.00046194938455686353,0.1,0.001,rbf,42,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf', 'random_state': 42}",0.5666666666666667,0.5666666666666667,0.5666666666666667,0.576271186440678,0.576271186440678,0.5705084745762712,0.0047052345341597945,72,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5690376569037657,0.5690376569037657,0.5704722056186491,0.0011713041208765587
6,0.0069771289825439455,0.0017584744797334304,0.0015659809112548828,3.1413907489170926e-05,0.1,0.005,rbf,42,"{'C': 0.1, 'gamma': 0.005, 'kernel': 'rbf', 'random_state': 42}",0.5666666666666667,0.5666666666666667,0.5666666666666667,0.576271186440678,0.576271186440678,0.5705084745762712,0.0047052345341597945,72,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5690376569037657,0.5690376569037657,0.5704722056186491,0.0011713041208765587
7,0.006403446197509766,0.0008598127929751194,0.001563262939453125,9.807352236093955e-05,0.1,0.0001,rbf,42,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'rbf', 'random_state': 42}",0.5666666666666667,0.5666666666666667,0.5666666666666667,0.576271186440678,0.576271186440678,0.5705084745762712,0.0047052345341597945,72,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5690376569037657,0.5690376569037657,0.5704722056186491,0.0011713041208765587
8,0.007100677490234375,0.0019287113925512296,0.0015404224395751953,3.051571542300388e-05,0.1,0.0005,rbf,42,"{'C': 0.1, 'gamma': 0.0005, 'kernel': 'rbf', 'random_state': 42}",0.5666666666666667,0.5666666666666667,0.5666666666666667,0.576271186440678,0.576271186440678,0.5705084745762712,0.0047052345341597945,72,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5690376569037657,0.5690376569037657,0.5704722056186491,0.0011713041208765587
9,0.008772945404052735,0.0019313623422524205,0.0017436981201171876,3.165731912692729e-05,1,1,rbf,42,"{'C': 1, 'gamma': 1, 'kernel': 'rbf', 'random_state': 42}",0.5666666666666667,0.5666666666666667,0.5666666666666667,0.576271186440678,0.576271186440678,0.5705084745762712,0.0047052345341597945,72,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0.010097980499267578,0.0039977676567739115,0.001706838607788086,4.226536739601056e-05,1,0.5,rbf,42,"{'C': 1, 'gamma': 0.5, 'kernel': 'rbf', 'random_state': 42}",0.5833333333333334,0.5666666666666667,0.5833333333333334,0.5932203389830508,0.6101694915254238,0.5873446327683617,0.014249613533137914,63,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,0.00843062400817871,0.0020953120577972303,0.001647806167602539,5.13825172099384e-05,1,0.1,rbf,42,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf', 'random_state': 42}",0.8833333333333333,0.8,0.9166666666666666,0.7966101694915254,0.9152542372881356,0.8623728813559323,0.05366321659404256,49,0.9957983193277311,0.9957983193277311,0.9915966386554622,0.9874476987447699,1.0,0.9941281952111389,0.0042683610962498545
12,0.006228780746459961,0.0002651298473595733,0.0015110969543457031,3.4025597432254574e-05,1,0.01,rbf,42,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf', 'random_state': 42}",0.8166666666666667,0.7666666666666667,0.8,0.8135593220338984,0.7966101694915254,0.7987005649717516,0.017752703438185604,50,0.8277310924369747,0.8739495798319328,0.8151260504201681,0.9121338912133892,0.8661087866108786,0.8590098801026687,0.03464073533729654
13,0.007853317260742187,0.002198349739888142,0.0015836238861083984,7.693016496119238e-05,1,0.05,rbf,42,"{'C': 1, 'gamma': 0.05, 'kernel': 'rbf', 'random_state': 42}",0.9333333333333333,0.8,0.95,0.8305084745762712,0.864406779661017,0.8756497175141243,0.05786601639169144,47,0.9873949579831933,0.9831932773109243,0.9789915966386554,0.9832635983263598,0.9790794979079498,0.9823845856334167,0.0031294234554829553
14,0.008150529861450196,0.0026899512486558853,0.0015216350555419921,9.57446268350961e-05,1,0.001,rbf,42,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf', 'random_state': 42}",0.5833333333333334,0.6333333333333333,0.5833333333333334,0.559322033898305,0.6101694915254238,0.5938983050847458,0.025450456760257863,61,0.6092436974789915,0.5966386554621849,0.6008403361344538,0.5899581589958159,0.6359832635983264,0.6065328223339544,0.015998098241408326
