,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
59,0.01734776496887207,0.0019185569660532874,0.0012551307678222655,0.0004544514942016841,200,0.001,rbf,"{'C': 200, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
60,0.026532745361328124,0.002535895856294642,0.0016602516174316407,0.00024115068022007035,200,0.005,rbf,"{'C': 200, 'gamma': 0.005, 'kernel': 'rbf'}",1.0,1.0,0.975,1.0,1.0,0.9949999999999999,0.010000000000000009,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
61,0.03386683464050293,0.0035050402329060175,0.001920795440673828,0.00040214746935504924,200,0.0001,rbf,"{'C': 200, 'gamma': 0.0001, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
62,0.018215036392211913,0.004962160187196804,0.0012065887451171875,0.0002764716235515166,200,0.0005,rbf,"{'C': 200, 'gamma': 0.0005, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
63,0.021389532089233398,0.006398158470944463,0.004000711441040039,0.0008987448894484804,500,1,rbf,"{'C': 500, 'gamma': 1, 'kernel': 'rbf'}",0.5625,0.5625,0.575,0.569620253164557,0.569620253164557,0.5678481012658227,0.004788216254667079,64,1.0,1.0,1.0,1.0,1.0,1.0,0.0
64,0.017258977890014647,0.00384751242668879,0.0030329227447509766,0.00011044757081815804,500,0.5,rbf,"{'C': 500, 'gamma': 0.5, 'kernel': 'rbf'}",0.6,0.6125,0.65,0.5822784810126582,0.6962025316455697,0.6281962025316455,0.04062043856042834,53,1.0,1.0,1.0,1.0,1.0,1.0,0.0
65,0.01698460578918457,0.001723444267514647,0.002894020080566406,0.0002457548398783535,500,0.1,rbf,"{'C': 500, 'gamma': 0.1, 'kernel': 'rbf'}",0.9625,0.95,0.925,0.9240506329113924,0.9367088607594937,0.9396518987341773,0.014804445518635408,41,1.0,1.0,1.0,1.0,1.0,1.0,0.0
66,0.025543880462646485,0.0020556695850805972,0.0017401695251464844,0.0001610342975621972,500,0.01,rbf,"{'C': 500, 'gamma': 0.01, 'kernel': 'rbf'}",0.9875,0.9875,0.9625,1.0,1.0,0.9875,0.013693063937629145,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
67,0.019504213333129884,0.0035334319733506506,0.002605247497558594,0.0003953125678348801,500,0.05,rbf,"{'C': 500, 'gamma': 0.05, 'kernel': 'rbf'}",0.975,0.975,0.9625,0.9873417721518988,0.9493670886075949,0.9698417721518988,0.012904099454325652,34,1.0,1.0,1.0,1.0,1.0,1.0,0.0
68,0.014644002914428711,0.0027427925750674537,0.0011894702911376953,0.00019970194087195166,500,0.001,rbf,"{'C': 500, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
69,0.03236613273620605,0.0023664745783686207,0.0022242069244384766,0.0009080146716523143,500,0.005,rbf,"{'C': 500, 'gamma': 0.005, 'kernel': 'rbf'}",1.0,1.0,0.975,1.0,1.0,0.9949999999999999,0.010000000000000009,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
70,0.03642063140869141,0.008521517515825455,0.001371002197265625,0.00033181677712674,500,0.0001,rbf,"{'C': 500, 'gamma': 0.0001, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
71,0.016635751724243163,0.0023752509717736943,0.0013480663299560546,0.00010508039152665004,500,0.0005,rbf,"{'C': 500, 'gamma': 0.0005, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
72,0.015544700622558593,0.001160875798438196,0.0035555362701416016,0.00030569516628213366,1000,1,rbf,"{'C': 1000, 'gamma': 1, 'kernel': 'rbf'}",0.5625,0.5625,0.575,0.569620253164557,0.569620253164557,0.5678481012658227,0.004788216254667079,64,1.0,1.0,1.0,1.0,1.0,1.0,0.0
73,0.014688348770141602,0.0018324389080858383,0.002880573272705078,0.00024040330670498387,1000,0.5,rbf,"{'C': 1000, 'gamma': 0.5, 'kernel': 'rbf'}",0.6,0.6125,0.65,0.5822784810126582,0.6962025316455697,0.6281962025316455,0.04062043856042834,53,1.0,1.0,1.0,1.0,1.0,1.0,0.0
74,0.017320013046264647,0.00030450160093750266,0.0024170875549316406,6.914352545229402e-05,1000,0.1,rbf,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",0.9625,0.95,0.925,0.9240506329113924,0.9367088607594937,0.9396518987341773,0.014804445518635408,41,1.0,1.0,1.0,1.0,1.0,1.0,0.0
75,0.024977874755859376,0.0024628436640730714,0.0021039962768554686,0.00012899739840358182,1000,0.01,rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",0.9875,0.9875,0.9625,1.0,1.0,0.9875,0.013693063937629145,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
76,0.018742179870605467,0.0012027443396828111,0.0027147769927978516,0.00024573596496580856,1000,0.05,rbf,"{'C': 1000, 'gamma': 0.05, 'kernel': 'rbf'}",0.975,0.975,0.9625,0.9873417721518988,0.9493670886075949,0.9698417721518988,0.012904099454325652,34,1.0,1.0,1.0,1.0,1.0,1.0,0.0
77,0.018083524703979493,0.001045067720207656,0.0014032840728759766,0.000510537175518297,1000,0.001,rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
78,0.023503828048706054,0.0013192835008682723,0.0019474506378173828,0.0004520869282664882,1000,0.005,rbf,"{'C': 1000, 'gamma': 0.005, 'kernel': 'rbf'}",1.0,1.0,0.975,1.0,1.0,0.9949999999999999,0.010000000000000009,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
79,0.03762812614440918,0.0048668550892271255,0.001680755615234375,0.0008441677118953722,1000,0.0001,rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
80,0.022091770172119142,0.004879405240091274,0.001696157455444336,0.0010623356732529475,1000,0.0005,rbf,"{'C': 1000, 'gamma': 0.0005, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
